Image,Signification,SignificationInv
data/images/mineurs/coupes/Cups01.jpg,Amour; compassion; créativité; émotion forte,Émotions bloquées ou réprimées
data/images/mineurs/coupes/Cups02.jpg,Amour uni; partenariat; attraction; relations,Rupture; manque d'harmonie dans une relation
data/images/mineurs/coupes/Cups03.jpg,Célébration; amitié; créativité; communauté,Adultère; tenir la chandelle; créativité étouffée
data/images/mineurs/coupes/Cups04.jpg,Méditation; contemplation; apathie; ré-évaluation,Ennui; opportunité gâchée; être distant
data/images/mineurs/coupes/Cups05.jpg,Perte; regret; déception; désespoir; deuil,Aller de l'avant; acceptation; pardon
data/images/mineurs/coupes/Cups06.jpg,Réunion; nostalgie; souvenirs d'enfance; innocence,Être bloqué dans le passé; naïveté; irréalisme
data/images/mineurs/coupes/Cups07.jpg,Fantaisie; illusion; choix; imagination; prendre ses désirs pour des réalités,Tentation; illusion; tactiques de diversion
data/images/mineurs/coupes/Cups08.jpg,S'évader de la réalité; déception; retrait; abandon,Pas d'espoir; dériver sans but; éloignement
data/images/mineurs/coupes/Cups09.jpg,Souhaits exaucés; confort; bonheur; satisfaction,Convoitise; insatisfaction; matérialisme
data/images/mineurs/coupes/Cups10.jpg,Harmonie; mariage; bonheur; conformité,Non-conformité des valeurs; mariage ou foyer brisé
data/images/mineurs/coupes/Cups11.jpg,Un messager; débuts créatifs; synchronicité,Immaturité émotionnelle; absence d'inspiration
data/images/mineurs/coupes/Cups12.jpg,Romance; charme; prince charmant; imagination,Non réaliste; jalousie; être maussade
data/images/mineurs/coupes/Cups13.jpg,Sécurité émotionnelle; calme; intuitive; compatissante,Insécurité émotionnelle; co-dépendance
data/images/mineurs/coupes/Cups14.jpg,Contrôle et équilibre émotionnels; générosité,Manipulation émotionnelle; être volatile ou lunatique
data/images/mineurs/batons/Wands01.jpg,Inspiration; création; débuts; potentiel,Délais; manque de motivation; se sentir plombé
data/images/mineurs/batons/Wands02.jpg,Planification du futur; progrès; décisions; découvertes,Peur de l'inconnu; manque de planification 
data/images/mineurs/batons/Wands03.jpg,Préparation; anticipation; entreprise; expansion,Manque d'anticipation; délais; obstacles concernant des buts à long terme
data/images/mineurs/batons/Wands04.jpg,Célébration; harmonie; mariage; foyer; communauté,Dégradation de la communication; transition
data/images/mineurs/batons/Wands05.jpg,Désaccord; compétition; conflit; tension,Éviter le conflit; diversité; être d'accord de ne pas être d'accord
data/images/mineurs/batons/Wands06.jpg,Reconnaissance publique; victoire; progrès; confiance en soi,Egoïsme; manque de confiance en soi; disgrâce; discrédit
data/images/mineurs/batons/Wands07.jpg,Défi; compétition; persévérance,Laisser tomber; sur-protecteur; être submergé
data/images/mineurs/batons/Wands08.jpg,Vitesse; action; voyage aérien; mouvement; changement rapide,Délais; frustration; s'abstenir de faire quelque chose
data/images/mineurs/batons/Wands09.jpg,Courage; persévérance; test de foi; résistance; ténacité,Etre sur la défensive; être à bout; être hésitant; paranoïa
data/images/mineurs/batons/Wands10.jpg,Poids; responsabilités; charge de travail; stress; accomplissement,Eviter les responsabilités; avoir les yeux plus grands que la bouche; en faire trop 
data/images/mineurs/batons/Wands11.jpg,Enthousiasme; exploration; découverte; esprit libre,Déboires au sujet d'idées nouvelles; pessimisme; manque de direction
data/images/mineurs/batons/Wands12.jpg,Energie; passion; luxure; action; aventure; impulsivité,Hâte; énergie dispersée; délais; frustration
data/images/mineurs/batons/Wands13.jpg,Exubérance; chaleur; vibrance; détermination,Personne timide; agressive; exigeante
data/images/mineurs/batons/Wands14.jpg,Leader naturel; vision; entrepreneur; honneur,Impulsivité; hâte; espérances importantes; impitoyable
data/images/mineurs/swords/Swords01.jpg,Pouvoir brut; victoire; clarté mentale; percées; avancées,Confusion; chaos; manque de clarté
data/images/mineurs/swords/Swords02.jpg,Indécision; choix; trève; statu quo; émotions réprimées; blocage,Indécision; confusion; surcharge d'informations
data/images/mineurs/swords/Swords03.jpg,Séparation douloureuse; peine de cœur; peine; rejet ,Se décharger de sa peine; optimisme; pardon
data/images/mineurs/swords/Swords04.jpg,Contemplation; récupération; passivité; relaxation; repos,Burn-out; manque de progrès; agitation
